customer_id,customer_name,customer_segment,industry,region,preferred_currency,risk_category,internal_rating,relationship_tenure_years,relationship_status,relationship_discount_pct,annual_revenue_aed,debt_to_equity_ratio,credit_score,existing_exposure_aed,requested_product_id,requested_product_type,requested_amount_aed,requested_tenor,sales_channel,no_previous_relationship_flag,onboarding_stage,source_system,source_file_name,ingestion_batch_id,ingestion_timestamp
CUST021,Sahara Medical Supplies LLC,SME,Healthcare,Dubai,AED,Medium,BBB-,0,New,0.0,24500000,0.0,655,0,PROD001,Loan,5000000,6M,Digital RM,Y,Initial Screening,Synthetic_POC_Raw_Landing,raw_prospect_customer_profile_20260701.csv,BATCH_RAW_20260701_001,2026-07-01
CUST022,Mira Electronics Trading,SME,Trading,Sharjah,AED,Low,A-,0,New,0.0,36000000,0.0,745,0,PROD004,Trade Finance,3500000,3M,Relationship Manager,Y,Initial Screening,Synthetic_POC_Raw_Landing,raw_prospect_customer_profile_20260701.csv,BATCH_RAW_20260701_001,2026-07-01
CUST023,Nova Build Contracting,Corporate,Construction,Abu Dhabi,AED,High,BB+,0,New,0.0,115000000,0.0,620,0,PROD002,Loan,45000000,36M,Relationship Manager,Y,KYC Completed,Synthetic_POC_Raw_Landing,raw_prospect_customer_profile_20260701.csv,BATCH_RAW_20260701_001,2026-07-01
CUST024,Palm Logistics Freezone,Corporate,Logistics,Dubai,AED,Medium,BBB+,0,New,0.0,88000000,0.0,715,0,PROD003,Trade Finance,12000000,12M,Branch,Y,KYC Pending,Synthetic_POC_Raw_Landing,raw_prospect_customer_profile_20260701.csv,BATCH_RAW_20260701_001,2026-07-01
CUST025,Apex Cloud Services FZ LLC,SME,Technology,Dubai,USD,Low,A,0,New,0.0,58000000,0.0,790,0,PROD006,Loan,9000000,24M,Digital RM,Y,KYC Pending,Synthetic_POC_Raw_Landing,raw_prospect_customer_profile_20260701.csv,BATCH_RAW_20260701_001,2026-07-01
CUST026,Gulf Agro Commodities,SME,FMCG,Ajman,AED,Medium,BBB,0,New,0.0,31000000,0.0,690,0,PROD005,Loan,6000000,12M,Relationship Manager,Y,KYC Pending,Synthetic_POC_Raw_Landing,raw_prospect_customer_profile_20260701.csv,BATCH_RAW_20260701_001,2026-07-01
CUST027,Harbor Marine Engineering,Corporate,Marine Services,Abu Dhabi,USD,Medium,BBB-,0,New,0.0,150000000,0.0,670,0,PROD006,Loan,22000000,36M,Relationship Manager,Y,Initial Screening,Synthetic_POC_Raw_Landing,raw_prospect_customer_profile_20260701.csv,BATCH_RAW_20260701_001,2026-07-01
CUST028,City Retail Mart LLC,SME,Retail,Dubai,AED,Medium,BBB-,0,New,0.0,21000000,0.0,665,0,PROD001,Loan,4000000,6M,Branch,Y,Initial Screening,Synthetic_POC_Raw_Landing,raw_prospect_customer_profile_20260701.csv,BATCH_RAW_20260701_001,2026-07-01
CUST029,Zenith Pharma Distribution,Corporate,Pharma Trading,Sharjah,AED,Low,A-,0,New,0.0,135000000,0.0,755,0,PROD003,Trade Finance,18000000,12M,Relationship Manager,Y,Credit Review,Synthetic_POC_Raw_Landing,raw_prospect_customer_profile_20260701.csv,BATCH_RAW_20260701_001,2026-07-01
CUST030,Orbit Hospitality Services,SME,Hospitality,Ras Al Khaimah,AED,High,BB,0,New,0.0,17500000,0.0,590,0,PROD005,Loan,3000000,6M,Relationship Manager,Y,Initial Screening,Synthetic_POC_Raw_Landing,raw_prospect_customer_profile_20260701.csv,BATCH_RAW_20260701_001,2026-07-01
CUST031,Silver Line Auto Components,SME,Automotive,Dubai,AED,Medium,BBB,0,New,0.0,28500000,0.0,685,0,PROD004,Trade Finance,2500000,3M,Digital RM,Y,Initial Screening,Synthetic_POC_Raw_Landing,raw_prospect_customer_profile_20260701.csv,BATCH_RAW_20260701_001,2026-07-01
CUST032,Falcon Renewable Parts,Corporate,Energy,Abu Dhabi,USD,Low,A,0,New,0.0,210000000,0.0,800,0,PROD006,Loan,35000000,60M,Relationship Manager,Y,Initial Screening,Synthetic_POC_Raw_Landing,raw_prospect_customer_profile_20260701.csv,BATCH_RAW_20260701_001,2026-07-01
